Player's_Name,Player’s State,Total Number of Points,Player's Pre-Rating,Average Pre Tournament Chess Rating of Opponents
GARY HUA,ON,6.0,1794,1649
DAKSHESH DARURI,MI,6.0,1553,1604
ADITYA BAJAJ,MI,6.0,1384,1712
PATRICK H SCHILLING,MI,5.5,1716,1655
HANSHI ZUO,MI,5.5,1655,1716
HANSEN SONG,OH,5.0,1686,1365
GARY DEE SWATHELL,MI,5.0,1649,1794
EZEKIEL HOUGHTON,MI,5.0,1641,1362
STEFANO LEE,ON,5.0,1411,1579
ANVIT RAO,MI,5.0,1365,1686
CAMERON WILLIAM MC LEMAN,MI,4.5,1712,1384
KENNETH J TACK,MI,4.5,1663,0
TORRANCE HENRY JR,MI,4.5,1666,1449
BRADLEY SHAW,MI,4.5,1610,1552
ZACHARY JAMES HOUGHTON,MI,4.5,1220,1270
MIKE NIKITIN,MI,4.0,1604,1553
RONALD GRZEGORCZYK,MI,4.0,1629,1363
DAVID SUNDEEN,MI,4.0,1600,1564
DIPANKAR ROY,MI,4.0,1564,1600
JASON ZHENG,MI,4.0,1595,1507
DINH DANG BUI,ON,4.0,1563,1348
EUGENE L MCCLURE,MI,4.0,1555,0
ALAN BUI,ON,4.0,1363,1629
MICHAEL R ALDRICH,MI,4.0,1229,967
LOREN SCHWIEBERT,MI,3.5,1745,1399
MAX ZHU,ON,3.5,1579,1411
GAURAV GIDWANI,MI,3.5,1552,1610
SOFIA ADINA STANESCU-BELLU,MI,3.5,1507,1595
CHIEDOZIE OKORIE,MI,3.5,1602,935
GEORGE AVERY JONES,ON,3.5,1522,1494
RISHI SHETTY,MI,3.5,1494,1522
JOSHUA PHILIP MATHEWS,ON,3.5,1441,1011
JADE GE,MI,3.5,1449,1666
MICHAEL JEFFERY THOMAS,MI,3.5,1399,1745
JOSHUA DAVID LEE,MI,3.5,1438,1092
SIDDHARTH JHA,MI,3.5,1355,0
AMIYATOSH PWNANANDAM,MI,3.5,980,0
BRIAN LIU,MI,3.0,1423,0
JOEL R HENDON,MI,3.0,1436,1199
FOREST ZHANG,MI,3.0,1348,1563
KYLE WILLIAM MURPHY,MI,3.0,1403,0
JARED GE,MI,3.0,1332,955
ROBERT GLEN VASEY,MI,3.0,1283,853
JUSTIN D SCHILLING,MI,3.0,1199,1436
DEREK YAN,MI,3.0,1242,1175
JACOB ALEXANDER LAVALLEY,MI,3.0,377,1163
ERIC WRIGHT,MI,2.5,1362,1641
DANIEL KHAIN,MI,2.5,1382,0
MICHAEL J MARTIN,MI,2.5,1291,917
SHIVAM JHA,MI,2.5,1056,0
TEJAS AYYAGARI,MI,2.5,1011,1441
ETHAN GUO,MI,2.5,935,1602
JOSE C YBARRA,MI,2.0,1393,0
LARRY HODGE,MI,2.0,1270,1220
ALEX KONG,MI,2.0,1186,0
MARISA RICCI,MI,2.0,1153,0
MICHAEL LU,MI,2.0,1092,1438
VIRAJ MOHILE,MI,2.0,917,1291
SEAN M MC CORMICK,MI,2.0,853,1283
JULIA SHEN,MI,1.5,967,1229
JEZZEL FARKAS,ON,1.5,955,1332
ASHWIN BALAJI,MI,1.0,1530,0
THOMAS JOSEPH HOSMER,MI,1.0,1175,1242
BEN LI,MI,1.0,1163,377
